VOTER;"NDA_{-0,5;0;1}";"MLP_{-0,5;0;1}";"EM_{-0,5;0;1}";"BH_{-0,5;0;1}";"NA_{-0,5;0;1}";"PP_{-0,5;0;1}";"JC_{-0,5;0;1}";"JL_{-0,5;0;1}";"JLM_{-0,5;0;1}";"FA_{-0,5;0;1}";"FF_{-0,5;0;1}";"NDA_{-1;0;1}";"MLP_{-1;0;1}";"EM_{-1;0;1}";"BH_{-1;0;1}";"NA_{-1;0;1}";"PP_{-1;0;1}";"JC_{-1;0;1}";"JL_{-1;0;1}";"JLM_{-1;0;1}";"FA_{-1;0;1}";"FF_{-1;0;1}";"NDA_{-2;0;1}";"MLP_{-2;0;1}";"EM_{-2;0;1}";"BH_{-2;0;1}";"NA_{-2;0;1}";"PP_{-2;0;1}";"JC_{-2;0;1}";"JL_{-2;0;1}";"JLM_{-2;0;1}";"FA_{-2;0;1}";"FF_{-2;0;1}";OFFIC;GENDER;AGE;WORK;EDUC
1;0;-0,5;1;1;-0,5;-0,5;-0,5;-0,5;0;1;-0,5;;;;;;;;;;;;;;;;;;;;;;;0;2;6;5;0
2;1;0;0;1;0;-0,5;0;-0,5;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;0;1;4;2;2
3;-0,5;-0,5;1;1;0;0;0;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
4;-0,5;1;1;0;1;-0,5;0;0;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;0;1;4;4;2
5;-0,5;-0,5;-0,5;0;-0,5;0;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;0;2;3;2;3
6;0;-0,5;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;2;0;0;2
7;1;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;0;;;;;;;;;;;;;;;;;;;;;;;1;1;4;5;2
8;1;1;0;0;1;1;1;1;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;0;3;2;3
9;1;1;-0,5;-0,5;-0,5;-0,5;-0,5;1;-0,5;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;1;2;3;2;2
10;1;0;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;0;;;;;;;;;;;;;;;;;;;;;;;1;1;4;2;3
11;1;1;0;0;0;0;0;0;0;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;2;1;4;2
12;1;-0,5;-0,5;0;0;-0,5;-0,5;0;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3
13;1;-0,5;-0,5;1;0;0;-0,5;0;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;2
14;1;-0,5;1;0;0;-0,5;0;1;-0,5;0;0;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2
15;1;-0,5;0;1;0;0;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;2;5;5;3
16;1;1;0;-0,5;-0,5;0;0;0;0;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;2
17;1;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;2;1;3;3
18;1;-0,5;1;0;0;-0,5;0;0;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;2;1;3;3
19;1;0;1;0;-0,5;0;0;-0,5;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;2;4;3;3
20;1;0;0;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;1;2;4;1;2
21;1;0;-0,5;-0,5;-0,5;-0,5;0;-0,5;-0,5;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;2;3;4;3
22;1;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;0;0;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2
23;1;-0,5;-0,5;-0,5;-0,5;-0,5;0;0;-0,5;1;1;;;;;;;;;;;;;;;;;;;;;;;1;2;3;1;0
24;1;0;-0,5;-0,5;-0,5;-0,5;1;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;1;1;3;1;2
25;1;0;1;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;0;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;3
26;1;0;-0,5;-0,5;0;1;-0,5;-0,5;0;0;1;;;;;;;;;;;;;;;;;;;;;;;1;2;4;4;2
27;-0,5;1;-0,5;1;1;1;-0,5;-0,5;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;1;3;1;1
28;0;1;-0,5;0;0;-0,5;0;0;-0,5;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;3
29;1;1;1;1;0;0;-0,5;0;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;2;6;5;2
30;0;1;1;0;0;0;0;0;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;2;1;6;3
31;0;1;1;-0,5;-0,5;-0,5;-0,5;-0,5;0;-0,5;0;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;3
32;0;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;1;3;2;3
33;-0,5;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;1;4;1;1
34;-0,5;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;1;2;1;3
35;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;2;2;3;1;2
36;0;1;1;-0,5;-0,5;-0,5;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;2;3;2;3
37;1;1;1;0;0;0;0;0;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;2;4;2;2
38;1;1;-0,5;-0,5;-0,5;-0,5;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;2;1;1;6;3
39;0;1;-0,5;0;-0,5;-0,5;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2
40;0;1;0;0;0;0;0;0;0;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;2;1;3;2
41;-0,5;1;-0,5;-0,5;0;0;0;0;-0,5;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;2;4;5;3
42;1;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;2;1;1;3;2
43;-0,5;-0,5;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;3
44;0;-0,5;1;0;-0,5;0;0;0;0;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;5;5;2
45;-0,5;-0,5;1;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;3;1;3
46;1;-0,5;1;0;0;0;0;0;-0,5;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;3;2;2
47;-0,5;-0,5;1;1;0;0;0;0;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;1;2;3
48;0;-0,5;1;0;-0,5;-0,5;0;-0,5;0;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;1;2;3
49;1;-0,5;1;-0,5;-0,5;0;0;0;-0,5;0;1;;;;;;;;;;;;;;;;;;;;;;;3;2;5;5;2
50;-0,5;-0,5;1;0;-0,5;0;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;1;6;3
51;-0,5;-0,5;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;2;3;3
52;0;-0,5;1;-0,5;-0,5;-0,5;0;-0,5;0;-0,5;0;;;;;;;;;;;;;;;;;;;;;;;3;1;1;6;3
53;-0,5;-0,5;1;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;0;6;5;3
54;1;0;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;5;5;3
55;-0,5;-0,5;1;1;-0,5;0;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;0;4;7;3
56;-0,5;-0,5;1;1;0;0;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;3;2;3
57;1;-0,5;1;0;-0,5;-0,5;-0,5;0;-0,5;0;1;;;;;;;;;;;;;;;;;;;;;;;3;2;5;5;3
58;-0,5;-0,5;1;1;-0,5;-0,5;1;-0,5;0;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;3
59;-0,5;0;0;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;4;2;2
60;0;-0,5;1;0;-0,5;0;-0,5;-0,5;0;1;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;2;4;3
61;0;-0,5;1;0;0;0;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;3;2;2;3;2
62;1;-0,5;1;-0,5;-0,5;1;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;3;2;3
63;0;-0,5;1;1;-0,5;-0,5;0;-0,5;1;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;3;1;3;2;3
64;0;-0,5;1;0;0;0;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;3;3;0
65;-0,5;-0,5;1;1;0;0;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;4;3;3
66;0;0;1;1;0;0;0;1;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;4;2;3
67;1;-0,5;1;0;-0,5;-0,5;-0,5;-0,5;0;-0,5;0;;;;;;;;;;;;;;;;;;;;;;;3;2;5;5;2
68;-0,5;-0,5;1;-0,5;-0,5;-0,5;-0,5;0;-0,5;-0,5;0;;;;;;;;;;;;;;;;;;;;;;;3;2;4;2;3
69;-0,5;-0,5;1;0;0;0;-0,5;0;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;5;5;3
70;1;-0,5;1;0;0;0;1;0;-0,5;-0,5;0;;;;;;;;;;;;;;;;;;;;;;;3;2;2;2;3
71;-0,5;-0,5;1;0;0;0;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;3;2;2
72;0;-0,5;1;0;0;-0,5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;3;2;1;1;3
73;1;-0,5;1;0;-0,5;-0,5;-0,5;-0,5;0;-0,5;0;;;;;;;;;;;;;;;;;;;;;;;3;2;1;6;3
74;0;-0,5;1;1;-0,5;1;0;0;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;4;3;3
75;-0,5;-0,5;1;-0,5;-0,5;-0,5;-0,5;0;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;2;2;3
76;-0,5;-0,5;1;-0,5;0;0;-0,5;0;-0,5;0;1;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;3
77;0;-0,5;1;0;0;-0,5;-0,5;0;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;3;3;3
78;0;-0,5;1;1;1;0;0;0;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;5;5;3
79;0;-0,5;1;0;-0,5;-0,5;-0,5;-0,5;0;0;1;;;;;;;;;;;;;;;;;;;;;;;3;2;2;3;3
80;1;-0,5;1;0;0;0;0;0;-0,5;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;3;7;3
81;0;-0,5;1;1;1;0;0;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;2;2;3
82;-0,5;-0,5;1;-0,5;-0,5;-0,5;0;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;3;2;3
83;-0,5;-0,5;1;0;-0,5;-0,5;-0,5;0;-0,5;-0,5;0;;;;;;;;;;;;;;;;;;;;;;;3;1;3;2;3
84;-0,5;-0,5;1;1;1;1;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;3;2;3
85;1;-0,5;1;-0,5;-0,5;-0,5;0;-0,5;-0,5;1;1;;;;;;;;;;;;;;;;;;;;;;;3;2;4;1;3
86;-0,5;-0,5;1;0;-0,5;-0,5;-0,5;0;-0,5;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;3;1;3;4;3
87;0;-0,5;1;1;1;1;-0,5;0;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;4;3;3
88;-0,5;-0,5;1;1;0;0;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;4;2;3
89;1;-0,5;1;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;3;2;3;2;3
90;-0,5;-0,5;1;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;6;5;3
91;0;-0,5;1;0;-0,5;-0,5;-0,5;-0,5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;3;2;1;6;3
92;0;1;1;1;1;1;0;0;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;3;1;2
93;1;-0,5;1;0;-0,5;-0,5;1;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;4;3;3
94;-0,5;-0,5;1;-0,5;0;-0,5;-0,5;0;-0,5;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;3;2;6;1;3
95;-0,5;-0,5;1;1;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;6;5;3
96;0;-0,5;1;1;0;-0,5;0;1;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;5;5;2
97;1;-0,5;1;0;0;0;0;0;0;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;4;5;3
98;-0,5;-0,5;1;-0,5;-0,5;-0,5;-0,5;0;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;3;2;3
99;-0,5;-0,5;1;0;-0,5;-0,5;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;4;2;3
100;0;-0,5;1;1;-0,5;-0,5;0;-0,5;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;2;5;5;3
101;0;-0,5;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;3;1;5;5;3
102;-0,5;-0,5;1;0;-0,5;0;-0,5;0;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;4;3;3
103;-0,5;-0,5;1;0;0;0;-0,5;0;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;4;2;3
104;0;-0,5;1;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;3;2;3;3;2
105;0;-0,5;1;1;0;0;0;0;-0,5;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;1;6;3
106;-0,5;-0,5;1;-0,5;-0,5;-0,5;-0,5;0;0;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;3;1;3;2;3
107;0;-0,5;1;1;0;0;-0,5;0;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;6;5;2
108;-0,5;-0,5;1;1;-0,5;0;-0,5;-0,5;1;0;0;;;;;;;;;;;;;;;;;;;;;;;3;2;4;2;3
109;-0,5;-0,5;1;-0,5;-0,5;-0,5;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;3;2;3
110;0;-0,5;1;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;3;1;3;2;3
111;0;-0,5;1;1;-0,5;-0,5;1;0;0;1;-0,5;;;;;;;;;;;;;;;;;;;;;;;3;1;4;1;3
112;-0,5;-0,5;-0,5;1;-0,5;0;0;-0,5;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;4;7;3
113;-0,5;-0,5;-0,5;1;0;1;0;0;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;1;2;2;2
114;0;-0,5;0;1;1;1;0;0;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;3;3;2
115;-0,5;-0,5;0;1;0;1;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;1;5;3;3
116;0;-0,5;1;1;1;0;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;1;6;3
117;0;-0,5;0;1;1;1;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;1;3;2;3
118;-0,5;-0,5;-0,5;1;1;1;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;1;2;2;2
119;-0,5;-0,5;0;1;1;0;0;0;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;3;2;3
120;1;-0,5;0;1;0;0;0;0;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;6;5;2
121;-0,5;-0,5;0;1;0;0;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;1;4;2;2
122;0;-0,5;-0,5;1;0;0;0;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;4;2;3
123;-0,5;-0,5;0;1;-0,5;-0,5;-0,5;0;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;5;2;2
124;-0,5;-0,5;1;1;0;1;-0,5;1;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;2;3;3
125;-0,5;-0,5;0;1;0;0;1;1;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;2;3;3
126;-0,5;-0,5;-0,5;1;-0,5;-0,5;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;4;1;3
127;0;-0,5;0;1;0;0;0;0;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;2;2;3
128;1;-0,5;-0,5;1;0;0;0;0;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;1;6;1
129;-0,5;-0,5;-0,5;1;-0,5;0;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;4;2;2;3;3
130;-0,5;-0,5;-0,5;-0,5;0;-0,5;-0,5;-0,5;0;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;5;2;4;2;3
131;-0,5;-0,5;0;0;1;1;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;5;0;3;2;2
132;-0,5;-0,5;-0,5;-0,5;0;1;0;0;0;1;-0,5;;;;;;;;;;;;;;;;;;;;;;;6;2;3;3;3
133;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;6;1;1;2;3
134;0;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;6;1;2;0;0
135;-0,5;-0,5;-0,5;0;1;1;0;0;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;1;2;1;3
136;-0,5;-0,5;-0,5;0;-0,5;0;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;2;2;2;3
137;-0,5;-0,5;-0,5;1;0;0;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;1;4;2;3
138;-0,5;-0,5;0;1;0;0;0;0;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;2;3;1;3
139;-0,5;-0,5;0;0;-0,5;-0,5;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;2;3;2;3
140;-0,5;-0,5;-0,5;1;0;-0,5;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;2;4;1;3
141;-0,5;-0,5;0;1;0;0;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;2;2;2;3
142;-0,5;-0,5;0;0;0;1;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;1;2;7;2
143;-0,5;-0,5;1;1;0;0;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;2;4;2;0
144;-0,5;-0,5;1;1;0;0;-0,5;-0,5;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;1;2;2;2
145;-0,5;-0,5;-0,5;1;1;1;-0,5;-0,5;1;0;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;1;4;1;3
146;-0,5;-0,5;0;0;0;0;0;0;1;-0,5;-0,5;;;;;;;;;;;;;;;;;;;;;;;9;1;5;5;3
